customerID,tenure,Contract,MonthlyCharges,ChurnProbability,RiskTier,CLV,CLV_Segment,PriorityScore
7216-EWTRS,1,Month-to-month,100.8,0.9166711774934457,Critical Risk,109.05430933490335,Bronze,46.20022734566967
0107-YHINA,1,Month-to-month,99.75,0.9207648018515766,Critical Risk,107.4385333103308,Bronze,45.92314449234738
5419-JPRRN,1,Month-to-month,101.45,0.8984579415522046,Critical Risk,111.98250423844452,Bronze,45.57427908523558
3178-FESZO,1,Month-to-month,100.25,0.9090816981041748,Critical Risk,109.36474445656778,Bronze,45.567720117471765
6857-VWJDT,1,Month-to-month,95.65,0.8981584492227493,Critical Risk,105.61555615751449,Bronze,42.95442783407799
8149-RSOUN,1,Month-to-month,93.85,0.9112371420871229,Critical Risk,102.1406787174073,Bronze,42.75980289243824
4910-GMJOT,1,Month-to-month,94.6,0.9029381354598834,Critical Risk,103.9032223070282,Bronze,42.708973807252484
0295-PPHDO,1,Month-to-month,95.45,0.8948761419277269,Critical Risk,105.7812948514595,Bronze,42.707963873500766
7181-BQYBV,1,Month-to-month,102.45,0.8330267828511213,Critical Risk,121.96883446817404,Bronze,42.67179695154869
9497-QCMMS,1,Month-to-month,93.55,0.8997568083034825,Critical Risk,103.11326199249959,Bronze,42.08612470839539
9300-AGZNL,1,Month-to-month,94.0,0.8933644219552923,Critical Risk,104.35063027452088,Bronze,41.98812783189874
5178-LMXOP,1,Month-to-month,95.1,0.8807836541339075,Critical Risk,107.0797001557866,Bronze,41.8812627540673
3988-RQIXO,1,Month-to-month,91.3,0.902004086095199,Critical Risk,100.38253256415763,Bronze,41.17648653024583
5167-ZFFMM,1,Month-to-month,90.85,0.9063847883726988,Critical Risk,99.40499301128042,Bronze,41.17252901182984
6521-YYTYI,1,Month-to-month,93.3,0.8822979413594372,Critical Risk,104.87265274275369,Bronze,41.15919896441774
8775-LHDJH,1,Month-to-month,90.6,0.9083526630943815,Critical Risk,98.91669097257392,Bronze,41.14837563817548
9223-UCPVT,1,Month-to-month,94.4,0.8572746633277187,Critical Risk,109.20634741185026,Bronze,40.46336410906833
3068-OMWZA,1,Month-to-month,88.8,0.9051838187317208,Critical Risk,97.29086388869756,Bronze,40.190161551688405
2725-KXXWT,1,Month-to-month,90.75,0.8787424495674683,Critical Risk,102.41908769093779,Bronze,39.872938649123874
9725-SCPZG,1,Month-to-month,90.85,0.8761127488787923,Critical Risk,102.83970147566471,Bronze,39.79742161781914
7274-RTAPZ,1,Month-to-month,90.55,0.8787424495674683,Critical Risk,102.1933706932718,Bronze,39.78506440416712
6356-ELRKD,1,Month-to-month,95.6,0.8226465100754671,Critical Risk,115.24988703431602,Bronze,39.322503181607324
5797-APWZC,1,Month-to-month,90.6,0.8646469978589354,Critical Risk,103.9166733845301,Bronze,39.168509003009774
7294-TMAOP,1,Month-to-month,90.55,0.8646469978589354,Critical Risk,103.85932422703313,Bronze,39.1468928280633
1455-ESIQH,1,Month-to-month,89.1,0.8714844194611959,Critical Risk,101.39439603322808,Bronze,38.824630886996275
8603-IJWDN,1,Month-to-month,86.6,0.8918190764129266,Critical Risk,96.30237768192272,Bronze,38.61576600867972
9124-LHCJQ,1,Month-to-month,85.45,0.9027319096876816,Critical Risk,93.87482678241804,Bronze,38.5692208414062
4826-XTSOH,1,Month-to-month,86.05,0.8960825079903478,Critical Risk,95.23547465132067,Bronze,38.553949906284714
3722-WPXTK,1,Month-to-month,88.35,0.8714844194611959,Critical Risk,100.54090785113021,Bronze,38.497824229698324
5192-EBGOV,1,Month-to-month,85.7,0.8960825079903478,Critical Risk,94.84811362717235,Bronze,38.397135467386406
0235-KGSLC,1,Month-to-month,85.55,0.8919411690307071,Critical Risk,95.1217167145815,Bronze,38.1527835052885
5597-GLBUC,1,Month-to-month,85.45,0.8815918929413523,Critical Risk,96.12588583380963,Bronze,37.66601362591928
3049-NDXFL,1,Month-to-month,85.8,0.8753443514094242,Critical Risk,97.20849738037502,Bronze,37.5522726754643
1069-XAIEM,1,Month-to-month,85.05,0.8817882162004759,Critical Risk,95.65460944971403,Bronze,37.498043893925235
7503-ZGUZJ,1,Month-to-month,84.65,0.8814885316596132,Critical Risk,95.23710202455358,Bronze,37.30900210249313
4844-JJWUY,1,Month-to-month,86.0,0.8671727152829092,Critical Risk,98.35325154403881,Bronze,37.2884267571651
9282-IZGQK,1,Month-to-month,85.0,0.8767089606157914,Critical Risk,96.15222890153571,Bronze,37.260130826171135
6230-BSUXY,1,Month-to-month,85.0,0.8677532165759637,Critical Risk,97.14457872456363,Bronze,36.87951170447846
2202-CUYXZ,1,Month-to-month,84.85,0.8651808982162768,Critical Risk,97.26146347436247,Bronze,36.70529960682554
4912-PIGUY,1,Month-to-month,84.6,0.866992448158971,Critical Risk,96.77226903699281,Bronze,36.67378055712447
0684-AOSIH,1,Month-to-month,95.0,0.7698676512345051,Critical Risk,122.37801637980446,Bronze,36.56871343363899
1415-YFWLT,1,Month-to-month,89.3,0.8117710543025327,Critical Risk,109.09724238340345,Bronze,36.245577574608085
6618-RYATB,1,Month-to-month,79.55,0.9017125681027686,Critical Risk,87.49191790623867,Bronze,35.86561739628762
3027-ZTDHO,1,Month-to-month,89.9,0.7971330143060045,Critical Risk,111.8471110759474,Bronze,35.831128993054904
0970-ETWGE,1,Month-to-month,89.55,0.7971330143060045,Critical Risk,111.41166626085749,Bronze,35.69163071555135
1628-BIZYP,1,Month-to-month,85.0,0.839322852415496,Critical Risk,100.43515486151284,Bronze,35.67122122765858
2004-OCQXK,1,Month-to-month,81.95,0.8661831658384952,Critical Risk,93.82856938122606,Bronze,35.49185522023234
3801-HMYNL,1,Month-to-month,89.15,0.7948899572738413,Critical Risk,111.22699731132386,Bronze,35.43221984548148
5494-HECPR,1,Month-to-month,80.25,0.8793589246076343,Critical Risk,90.50545190635937,Bronze,35.28427684988133
0137-OCGAB,1,Month-to-month,80.2,0.8793043315054748,Critical Risk,90.45467790027533,Bronze,35.260103693369544
7120-RFMVS,1,Month-to-month,84.5,0.8326144783137194,Critical Risk,100.64880575015235,Bronze,35.177961708754644
9300-RENDD,1,Month-to-month,79.95,0.8793589246076343,Critical Risk,90.16711376839167,Bronze,35.152373011190186
4614-NUVZD,1,Month-to-month,81.1,0.8661831658384952,Critical Risk,92.85536274334878,Bronze,35.12372737475098
7493-TPUWZ,1,Month-to-month,79.15,0.8873285718634221,Critical Risk,88.46313559333596,Bronze,35.11602823149493
8058-INTPH,1,Month-to-month,79.65,0.8817159918968506,Critical Risk,89.58863881696627,Bronze,35.114339377292076
6567-HOOPW,1,Month-to-month,79.2,0.886102784740623,Critical Risk,88.64147128083579,Bronze,35.08967027572867
1761-AEZZR,1,Month-to-month,79.55,0.8817159918968506,Critical Risk,89.47616092767942,Bronze,35.07025357769723
2514-GINMM,1,Month-to-month,79.5,0.8817159918968506,Critical Risk,89.41992198303599,Bronze,35.04821067789981
8580-AECUZ,1,Month-to-month,79.1,0.886102784740623,Critical Risk,88.52955023123876,Bronze,35.04536513649164
0495-RVCBF,1,Month-to-month,79.7,0.8790918145518325,Critical Risk,89.91247672388515,Bronze,35.03180880989053
6457-USBER,1,Month-to-month,80.8,0.8661831658384952,Critical Risk,92.51187804762739,Bronze,34.99379989987521
7439-DKZTW,1,Month-to-month,80.55,0.8668996182723789,Critical Risk,92.14942057519927,Bronze,34.91438212592006
0318-QUUOB,1,Month-to-month,80.55,0.8668996182723789,Critical Risk,92.14942057519927,Bronze,34.91438212592006
2868-MZAGQ,1,Month-to-month,79.25,0.8810683514614615,Critical Risk,89.20424980870722,Bronze,34.91233342666041
7577-SWIFR,1,Month-to-month,89.25,0.7810858004022883,Critical Risk,113.31968478831352,Bronze,34.85595384295211
5960-WPXQM,1,Month-to-month,79.05,0.8817159918968506,Critical Risk,88.91377148124522,Bronze,34.84982457972302
